activity_id,gear
318124113,b'\xe2\x80\x94'
497490342,b'\xe2\x80\x94'
132958181,b'\xe2\x80\x94'
132735241,b'\xe2\x80\x94'
132716103,b'\xe2\x80\x94'
132777175,b'\xe2\x80\x94'
132739552,b'\xe2\x80\x94'
299447787,b'\xe2\x80\x94'
132947806,b'\xe2\x80\x94'
132952700,b'\xe2\x80\x94'
133134556,b'\xe2\x80\x94'
133113182,b'\xe2\x80\x94'
133042413,b'\xe2\x80\x94'
133260026,b'\xe2\x80\x94'
224681351,b'\xe2\x80\x94'
163540064,b'\xe2\x80\x94'
133318240,b'\xe2\x80\x94'
549774465,b'\xe2\x80\x94'
132713785,b'\xe2\x80\x94'
293065037,b'\xe2\x80\x94'
133823774,b'\xe2\x80\x94'
132749185,b'\xe2\x80\x94'
494174404,b'\xe2\x80\x94'
280027818,b'\xe2\x80\x94'
161794838,b'\xe2\x80\x94'
148838777,b'\xe2\x80\x94'
133068703,b'\xe2\x80\x94'
140075716,b'\xe2\x80\x94'
629927126,b'\xe2\x80\x94'
882010692,b'\xe2\x80\x94'
531101518,b'\xe2\x80\x94'
133761956,b'\xe2\x80\x94'
133016405,b'\xe2\x80\x94'
765892691,b'\xe2\x80\x94'
132851178,b'\xe2\x80\x94'
157768188,b'\xe2\x80\x94'
134200338,b'\xe2\x80\x94'
3149203659,b'\xe2\x80\x94'
132865910,b'\xe2\x80\x94'
132813460,b'\xe2\x80\x94'
147591115,b'\xe2\x80\x94'
133089160,b'\xe2\x80\x94'
132931856,b'\xe2\x80\x94'
4505544249,b'\xe2\x80\x94'
132991090,b'\xe2\x80\x94'
427240269,b'\xe2\x80\x94'
170388465,b'\xe2\x80\x94'
132765930,b'\xe2\x80\x94'
136367370,b'\xe2\x80\x94'
