activity_id,shoes,device,suffer
402503778,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
552416209,"b'adidas Adizero Tempo\n(3,325.0 mi)'",b'Garmin Forerunner 235',b'385'
207307777,"b'Brooks Adrenaline GTS\n(2,167.6 mi)'",b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
207462917,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
556516803,b'Newton Gravity 5\n(819.4 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
1259257289,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
220449131,"b'Brooks Ghost\n(1,037.2 mi)'",b'Garmin Forerunner 620',b'\xe2\x80\x94'
289322304,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1264433752,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
292915271,b'adidas Supernova Glide Boost\n(655.9 mi)',b'TomTom',b'\xe2\x80\x94'
446482988,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
1612178182,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'\xe2\x80\x94'
232240072,b'Mizuno Sayonara 1\n(510.7 mi)',b'\xe2\x80\x94',b'\xe2\x80\x94'
965099467,"b'Puma Bio Ride Bolt\n(3,642.9 mi)'",b'Garmin Forerunner 410',b'\xe2\x80\x94'
424648564,b'Mizuno Wave Rider 17\n(445.0 mi)',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
550176231,"b'Unbranded\n(8,138.6 mi)'",b'Garmin Forerunner 620',b'\xe2\x80\x94'
410976393,"b'La Sportiva Helios\n(1,637.2 mi)'",b'Garmin Forerunner 620',b'\xe2\x80\x94'
289576056,b'Nike LunaRacer 3 (Blue)\n(527.7 mi)',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
401188707,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'260'
425058168,b'\xe2\x80\x94',b'Suunto Ambit3 Sport',b'\xe2\x80\x94'
257081855,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'373'
1182608371,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'\xe2\x80\x94'
350512006,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
289310242,b'\xe2\x80\x94',b'Strava Android App',b'\xe2\x80\x94'
426438328,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
549396080,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
549842056,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
401278383,b'Nike Zoom Streak 5 (Laser Crimson)\n(733.2 mi)',b'TomTom',b'\xe2\x80\x94'
555518906,b'\xe2\x80\x94',b'Suunto Ambit',b'\xe2\x80\x94'
289243007,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
