activity_id,shoes,device,suffer,vaporfly
402503778,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
552416209,"adidas Adizero Tempo\n(3,325.0 mi)",Garmin Forerunner 235,385,0
207307777,"Brooks Adrenaline GTS\n(2,167.6 mi)",Garmin Forerunner 310XT,\xe2\x80\x94,0
207462917,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
556516803,Newton Gravity 5\n(819.4 mi),Garmin Forerunner 610,\xe2\x80\x94,0
1259257289,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
220449131,"Brooks Ghost\n(1,037.2 mi)",Garmin Forerunner 620,\xe2\x80\x94,0
289322304,\xe2\x80\x94,Garmin Forerunner 910XT,\xe2\x80\x94,0
1264433752,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
292915271,adidas Supernova Glide Boost\n(655.9 mi),TomTom,\xe2\x80\x94,0
446482988,\xe2\x80\x94,Strava iPhone App,\xe2\x80\x94,0
1612178182,\xe2\x80\x94,Garmin Forerunner 610,\xe2\x80\x94,0
232240072,Mizuno Sayonara 1\n(510.7 mi),\xe2\x80\x94,\xe2\x80\x94,0
965099467,"Puma Bio Ride Bolt\n(3,642.9 mi)",Garmin Forerunner 410,\xe2\x80\x94,0
424648564,Mizuno Wave Rider 17\n(445.0 mi),Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
550176231,"Unbranded\n(8,138.6 mi)",Garmin Forerunner 620,\xe2\x80\x94,0
410976393,"La Sportiva Helios\n(1,637.2 mi)",Garmin Forerunner 620,\xe2\x80\x94,0
289576056,Nike LunaRacer 3 (Blue)\n(527.7 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
401188707,\xe2\x80\x94,Garmin Forerunner 920XT,260,0
425058168,\xe2\x80\x94,Suunto Ambit3 Sport,\xe2\x80\x94,0
257081855,\xe2\x80\x94,Garmin Forerunner 610,373,0
1182608371,\xe2\x80\x94,Garmin Forerunner 610,\xe2\x80\x94,0
350512006,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
289310242,\xe2\x80\x94,Strava Android App,\xe2\x80\x94,0
426438328,\xe2\x80\x94,Garmin Forerunner 910XT,\xe2\x80\x94,0
549396080,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
549842056,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
401278383,Nike Zoom Streak 5 (Laser Crimson)\n(733.2 mi),TomTom,\xe2\x80\x94,0
555518906,\xe2\x80\x94,Suunto Ambit,\xe2\x80\x94,0
289243007,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
289667000,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
293737859,\xe2\x80\x94,Garmin f\xc4\x93nix 2,367,0
567180964,\xe2\x80\x94,Polar V800,482,0
902598739,\xe2\x80\x94,GPX,\xe2\x80\x94,0
864084263,\xe2\x80\x94,Garmin Forerunner 910XT,565,0
214801870,"Brooks Glycerin\n(1,293.4 mi)",Strava Android App,\xe2\x80\x94,0
701233944,\xe2\x80\x94,GPX,\xe2\x80\x94,0
401358938,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
424861696,"Brooks Glycerin\n(2,116.2 mi)",Garmin Forerunner 620,359,0
293000366,Nike Zoom Streak 4 - Yellow\n(377.0 mi),Garmin Forerunner 410,\xe2\x80\x94,0
739581776,"Skechers Go Ultra\n(10,122.3 mi)",Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
254438023,\xe2\x80\x94,Garmin Forerunner 405,\xe2\x80\x94,0
739997043,adidas adios boost 2.0\n(108.8 mi),Garmin Forerunner 220,\xe2\x80\x94,0
418239913,\xe2\x80\x94,Garmin Forerunner 10,\xe2\x80\x94,0
425795790,Nike Lunar 3\n(109.7 mi),GPX,\xe2\x80\x94,0
258334843,Newton Gravity III\n(887.8 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
557446749,\xe2\x80\x94,Garmin Forerunner 310XT,\xe2\x80\x94,0
880554209,"New Balance 890v5\n(2,704.7 mi)",\xe2\x80\x94,\xe2\x80\x94,0
549716575,Luna Sandals Venado 9/18/2015\n(554.6 mi),Garmin Forerunner 620,247,0
200750938,\xe2\x80\x94,Garmin Forerunner 110,\xe2\x80\x94,0
