activity_id,shoes,device,suffer,vaporfly
946570856,b'ASICS Gel Kayano\n(800.9 mi)',rmin Forerunner 22,b'\xe2\x80\x94',0
411573108,"b'ASICS kayano 20\n(1,507.9 mi)'",rmin Forerunner 310X,b'\xe2\x80\x94',0
215617036,b'\xe2\x80\x94',rmin Forerunner 22,b'\xe2\x80\x94',0
2292279774,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
2838843772,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
2786304868,b'\xe2\x80\x94',rmin Forerunner 3,b'\xe2\x80\x94',0
1890359406,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
1946401929,b'New Balance 1400 v6 Red/White\n(443.1 mi)',rmin Forerunner 23,b'313',0
555229181,b'\xe2\x80\x94',rava iPhone Ap,b'\xe2\x80\x94',0
549390374,b'HOKA ONE ONE Clifton 2\n(393.6 mi)',rmin Forerunner 22,b'\xe2\x80\x94',0
1844941471,b'\xe2\x80\x94',rmin Forerunner 63,b'\xe2\x80\x94',0
1199595846,b'\xe2\x80\x94',rmin Forerunner 22,b'\xe2\x80\x94',0
950256907,b'\xe2\x80\x94',rmin Forerunner 22,b'\xe2\x80\x94',0
2292468395,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'321',0
427042111,b'\xe2\x80\x94',rmin Forerunner 910X,b'227',0
1845199673,"b'ASICS Gel Lyte 33\n(12,392.3 mi)'",rmin Forerunner 645 Musi,b'402',0
571156655,b'\xe2\x80\x94',rmin Forerunner 310X,b'\xe2\x80\x94',0
206872074,b'ASICS Tarther\n(282.3 mi)',rmin Forerunner 1,b'\xe2\x80\x94',0
739680032,b'\xe2\x80\x94',rmin Forerunner 63,b'\xe2\x80\x94',0
1890996487,b'Nike Zoom Fly\n(327.4 mi)',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
1269939458,"b'ASICS GT 2000 V4\n(1,569.2 mi)'",rmin Forerunner 22,b'\xe2\x80\x94',0
1512309283,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
1524782331,"b'adidas adizero adios\n(1,265.9 mi)'",rmin Forerunner 920X,b'\xe2\x80\x94',0
