name_age,time,overall_place,sex_place,sex_div_place,div,net_time,city_state_country,state_country,country,city,city_country,ag_time,bq,date,marathon,midd,year
Galen Rupp (M),2:11:12,1,1,NA,NA,NA,NA,NA,NA,Portland,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Meb Keflezighi (M),2:12:20,2,2,NA,NA,NA,NA,NA,NA,San Diego,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jared Ward (M),2:13:00,3,3,NA,NA,NA,NA,NA,NA,Provo,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Luke Puskedra (M),2:14:12,4,4,NA,NA,NA,NA,NA,NA,Eugene,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Tyler Pennel (M),2:14:57,5,5,NA,NA,NA,NA,NA,NA,Blowing Rock,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Matthew Llano (M),2:15:16,6,6,NA,NA,NA,NA,NA,NA,Flagstaff,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Shadrack Biwott (M),2:15:23,7,7,NA,NA,NA,NA,NA,NA,Sacramento,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Patrick Smyth (M),2:15:26,8,8,NA,NA,NA,NA,NA,NA,Santa Fe,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Sean Quigley (M),2:15:52,9,9,NA,NA,NA,NA,NA,NA,Lafayette,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Nick Arciniaga (M),2:16:25,10,10,NA,NA,NA,NA,NA,NA,Flagstaff,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Timothy Young (M),2:17:09,11,11,NA,NA,NA,NA,NA,NA,Fredericksburg,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Max King (M),2:17:14,12,12,NA,NA,NA,NA,NA,NA,Bend,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jeffrey Eggleston (M),2:17:19,13,13,NA,NA,NA,NA,NA,NA,Boulder,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Scott Smith (M),2:17:33,14,14,NA,NA,NA,NA,NA,NA,Flagstaff,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jacob Riley (M),2:18:31,15,15,NA,NA,NA,NA,NA,NA,Rochester,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Augustus Maiyo (M),2:18:33,16,16,NA,NA,NA,NA,NA,NA,Colorado Springs,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Benjamin Payne (M),2:18:37,17,17,NA,NA,NA,NA,NA,NA,Colorado Springs,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Malcolm Richards (M),2:18:40,18,18,NA,NA,NA,NA,NA,NA,San Francisco,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Elkanah Kibet (M),2:20:10,19,19,NA,NA,NA,NA,NA,NA,Fayetteville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Brendan Martin (M),2:20:41,20,20,NA,NA,NA,NA,NA,NA,Smithtown,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Ethan Shaw (M),2:20:56,21,21,NA,NA,NA,NA,NA,NA,San Diego,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Mike Morgan (M),2:20:59,22,22,NA,NA,NA,NA,NA,NA,Rochester Hills,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
