name_age,time,overall_place,sex_place,sex_div_place,div,net_time,city_state_country,state_country,country,city,city_country,ag_time,bq,date,marathon,midd,year
Amy Cragg (F),2:28:20,1,1,NA,NA,NA,NA,NA,NA,Portland,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Desiree Linden (F),2:28:54,2,2,NA,NA,NA,NA,NA,NA,Washington Twp,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Shalane Flanagan (F),2:29:19,3,3,NA,NA,NA,NA,NA,NA,Portland,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Kara Goucher (F),2:30:24,4,4,NA,NA,NA,NA,NA,NA,Boulder,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Janet Bawcom (F),2:31:14,5,5,NA,NA,NA,NA,NA,NA,Flagstaff,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Kellyn Taylor (F),2:32:50,6,6,NA,NA,NA,NA,NA,NA,Flagstaff,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Maegan Krifchin (F),2:33:28,7,7,NA,NA,NA,NA,NA,NA,Silver Spring,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Serena Burla (F),2:34:22,8,8,NA,NA,NA,NA,NA,NA,Stafford,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Katja Goldring (F),2:35:21,9,9,NA,NA,NA,NA,NA,NA,Beverly Hills,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Alia Gray (F),2:35:47,10,10,NA,NA,NA,NA,NA,NA,Boulder,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Esther Atkins (F),2:37:56,11,11,NA,NA,NA,NA,NA,NA,Blowing Rock,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Adriana Nelson (F),2:38:56,12,12,NA,NA,NA,NA,NA,NA,Mammoth Lakes,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Lenore Moreno (F),2:39:38,13,13,NA,NA,NA,NA,NA,NA,West Covina,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Lindsay Flanagan (F),2:39:42,14,14,NA,NA,NA,NA,NA,NA,Silver Spring,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Melissa White (F),2:39:57,15,15,NA,NA,NA,NA,NA,NA,Lake Orion,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Heather Lieberg (F),2:40:36,16,16,NA,NA,NA,NA,NA,NA,Helena,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Wendy Thomas (F),2:40:39,17,17,NA,NA,NA,NA,NA,NA,Windsor,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Erin Osment (F),2:40:42,18,18,NA,NA,NA,NA,NA,NA,Charlotte,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Erin Vergara (F),2:41:10,19,19,NA,NA,NA,NA,NA,NA,Indianapolis,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Susanna Sullivan (F),2:41:18,20,20,NA,NA,NA,NA,NA,NA,Falls Church,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Katie Dicamillo (F),2:42:01,21,21,NA,NA,NA,NA,NA,NA,Providence,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Allison Macsas (F),2:42:36,22,22,NA,NA,NA,NA,NA,NA,Austin,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Cynthia Fowler (F),2:42:41,23,23,NA,NA,NA,NA,NA,NA,Farmington,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Keely Maguire (F),2:43:06,24,24,NA,NA,NA,NA,NA,NA,Newmarket,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Laura Hagley (F),2:43:11,25,25,NA,NA,NA,NA,NA,NA,Hanover,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Caitlin Comfort (F),2:43:31,26,26,NA,NA,NA,NA,NA,NA,Verona,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Kristen Heckert (F),2:43:39,27,27,NA,NA,NA,NA,NA,NA,Bolingbrook,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Katie Kellner (F),2:43:41,28,28,NA,NA,NA,NA,NA,NA,Rochester Hills,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Ellie Hess (F),2:43:46,29,29,NA,NA,NA,NA,NA,NA,Chesterland.,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Whitney Bevins (F),2:43:52,30,30,NA,NA,NA,NA,NA,NA,Boulder,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Gina Slaby (F),2:43:53,31,31,NA,NA,NA,NA,NA,NA,Seabeck,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Lauren Philbrook (F),2:43:58,32,32,NA,NA,NA,NA,NA,NA,Auburn,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Anita Perez (F),2:44:16,33,33,NA,NA,NA,NA,NA,NA,Universal City,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Brianne Nelson (F),2:44:19,34,34,NA,NA,NA,NA,NA,NA,Golden,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Dot McMahan (F),2:44:19,35,35,NA,NA,NA,NA,NA,NA,Oakland Township,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Lauren Jimison (F),2:44:30,36,36,NA,NA,NA,NA,NA,NA,Mammoth Lakes,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Hilary Dionne (F),2:44:44,37,37,NA,NA,NA,NA,NA,NA,Charlestown,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Teresa McWalters (F),2:44:54,38,38,NA,NA,NA,NA,NA,NA,San Francisco,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Emma Polley (F),2:44:56,39,39,NA,NA,NA,NA,NA,NA,Mill Creek,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Carrie Dimoff (F),2:44:58,40,40,NA,NA,NA,NA,NA,NA,Portland,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Lauren Johnson (F),2:45:01,41,41,NA,NA,NA,NA,NA,NA,Portland,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Madeline Duhon (F),2:45:20,42,42,NA,NA,NA,NA,NA,NA,Somerville,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Elizabeth Herndon (F),2:45:32,43,43,NA,NA,NA,NA,NA,NA,Kent,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Bridget Lyons (F),2:45:38,44,44,NA,NA,NA,NA,NA,NA,Atlanta,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Stephanie Dinius (F),2:46:20,45,45,NA,NA,NA,NA,NA,NA,Brookline,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Rachel Hyland (F),2:46:21,46,46,NA,NA,NA,NA,NA,NA,Andover,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Ingrid Mollenkopf (F),2:46:22,47,47,NA,NA,NA,NA,NA,NA,Dallas,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Rachel Jaten (F),2:46:28,48,48,NA,NA,NA,NA,NA,NA,Spokane,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Meghan Peyton (F),2:46:39,49,49,NA,NA,NA,NA,NA,NA,Bloomington,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Julia Roman-Duval (F),2:46:47,50,50,NA,NA,NA,NA,NA,NA,Columbia,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Brett Ely (F),2:46:59,51,51,NA,NA,NA,NA,NA,NA,Eugene,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Michelle Langan (F),2:47:46,52,52,NA,NA,NA,NA,NA,NA,Cary,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Sarah Cummings (F),2:47:55,53,53,NA,NA,NA,NA,NA,NA,New York,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Kaitlin Gregg Goodman (F),2:48:16,54,54,NA,NA,NA,NA,NA,NA,Davis,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Ashley Brasovan (F),2:48:32,55,55,NA,NA,NA,NA,NA,NA,Golden,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Anna Weber (F),2:48:36,56,56,NA,NA,NA,NA,NA,NA,Indianapolis,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Sallie Post (F),2:48:37,57,57,NA,NA,NA,NA,NA,NA,Decatur,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Jessica Odorcic (F),2:48:46,58,58,NA,NA,NA,NA,NA,NA,Madison,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Laura Paulsen (F),2:48:56,59,59,NA,NA,NA,NA,NA,NA,Cambridge,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Kelsey Bruce (F),2:48:59,60,60,NA,NA,NA,NA,NA,NA,Dallas,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Jennifer Bergman (F),2:49:00,61,61,NA,NA,NA,NA,NA,NA,Portland,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Amanda Nurse (F),2:49:15,62,62,NA,NA,NA,NA,NA,NA,Brookline,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Amber Green (F),2:49:17,63,63,NA,NA,NA,NA,NA,NA,Saint George,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Lavenna Kubatzky (F),2:49:31,64,64,NA,NA,NA,NA,NA,NA,Colorado Springs,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Jenelle Deatherage (F),2:49:37,65,65,NA,NA,NA,NA,NA,NA,Dunlap,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Laura Portis (F),2:49:53,66,66,NA,NA,NA,NA,NA,NA,Detroit,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Colleen De Reuck (F),2:49:57,67,67,NA,NA,NA,NA,NA,NA,Boulder,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
Elizabeth Northern (F),2:49:57,68,68,NA,NA,NA,NA,NA,NA,Fort Worth,NA,NA,BQ,2016-02-13,Women's Olympic Trials Marathon,5303160213,2016
